parcelle;zone;date;time;sequence;ins-7;pl-7;hr-7;t-7;s;ac;ac_m;var_s;var_ac;var_ac_m
SAU;anjou;04/10/1999;4.0;26.0;31.6;61.5;84.07;15.157142857142901;214.8;4.06;2.77;24.0;-0.2600000000000007;0.10000000000000009
SAU;anjou;12/10/1999;5.0;26.0;35.2;0.5;82.64;13.557142857142901;227.6;4.43;3.24;12.799999999999983;0.3700000000000001;0.4700000000000002
SAU;anjou;18/10/1999;6.0;26.0;19.8;13.0;90.79;13.021428571428599;225.2;5.36;3.54;-2.4000000000000057;0.9300000000000006;0.2999999999999998
VAL;anjou;13/09/1999;1.0;27.0;48.1;62.0;72.07;20.157142857142897;202.2;5.08;2.82;NA;NA;NA
VAL;anjou;20/09/1999;2.0;27.0;32.6;20.0;77.79;16.0428571428571;209.1;4.83;3.12;6.900000000000006;-0.25;0.30000000000000027
VAL;anjou;27/09/1999;3.0;27.0;29.4;45.5;82.36;18.1357142857143;214.8;4.6;2.85;5.700000000000017;-0.23000000000000043;-0.27
VAL;anjou;04/10/1999;4.0;27.0;31.6;61.5;84.07;15.157142857142901;224.1;4.1;2.06;9.299999999999983;-0.5;-0.79
VAL;anjou;11/10/1999;5.0;27.0;36.3;0.5;81.29;12.7;238.2;4.05;2.51;14.099999999999994;-0.04999999999999982;0.44999999999999973
VAL;anjou;18/10/1999;6.0;27.0;19.8;13.0;90.79;13.021428571428599;240.3;4.39;2.42;2.1000000000000227;0.33999999999999986;-0.08999999999999986
BON;anjou;11/09/2000;3.0;28.0;63.3;0.0;67.86;19.842857142857103;187.4;8.2;7.2;NA;NA;NA
BON;anjou;18/09/2000;4.0;28.0;34.6;30.0;72.71;17.35;196.5;6.81;5.8;9.099999999999994;-1.3899999999999997;-1.4000000000000004
BON;anjou;25/09/2000;5.0;28.0;34.5;12.0;77.21;17.2142857142857;210.3;5.73;4.86;13.800000000000011;-1.0799999999999992;-0.9399999999999995
BON;anjou;02/10/2000;6.0;28.0;37.2;38.0;78.0;15.2642857142857;224.1;5.21;3.76;13.799999999999983;-0.5200000000000005;-1.1000000000000005
SAU;anjou;11/09/2000;3.0;29.0;63.3;0.0;67.86;19.842857142857103;174.9;8.36;8.0;NA;NA;NA
SAU;anjou;18/09/2000;4.0;29.0;34.6;30.0;72.71;17.35;180.5;7.17;6.6;5.599999999999994;-1.1899999999999995;-1.4000000000000004
SAU;anjou;25/09/2000;5.0;29.0;34.5;12.0;77.21;17.2142857142857;187.4;6.5;5.76;6.900000000000006;-0.6699999999999999;-0.8399999999999999
SAU;anjou;02/10/2000;6.0;29.0;37.2;38.0;78.0;15.2642857142857;201.1;5.83;4.83;13.699999999999989;-0.6699999999999999;-0.9299999999999997
BOR;anjou;18/09/2000;4.0;30.0;34.6;30.0;72.71;17.35;179.4;7.95;7.0;NA;NA;NA
